userId,1,2,3,4
1,"{'22', '19', '1', '5'}",,"{'22', '4', '5'}",
3,"{'19', '15', '1', '5', '4'}","{'19', '15', '5'}","{'19', '15', '5', '20', '4'}","{'19', '16', '15', '5', '4'}"
4,"{'22', '19'}",{'22'},"{'22', '19'}",{'22'}
5,"{'19', '1', '6'}",{'5'},,"{'19', '1', '5'}"
6,,{'5'},,
7,,,{'22'},{'22'}
8,"{'19', '3', '1'}","{'19', '3', '1'}","{'19', '1', '6', '3', '4'}","{'4', '22', '19', '1'}"
9,"{'4', '19'}","{'19', '1'}",,"{'4', '19'}"
10,"{'19', '22', '15', '1', '5', '6'}","{'19', '22', '15', '1', '6', '5'}","{'19', '22', '4', '1'}","{'22', '19', '4'}"
11,"{'22', '19', '1', '13'}","{'22', '19', '13'}","{'22', '20', '13'}",{'22'}
12,"{'22', '1', '5'}","{'22', '1', '5'}","{'22', '19', '1', '5'}","{'22', '4', '16', '1'}"
13,{'19'},{'19'},{'19'},
14,"{'19', '22', '12', '13', '4'}","{'19', '22', '1', '12', '13'}","{'12', '19', '1'}","{'12', '19', '1'}"
15,"{'1', '5'}",,{'1'},
16,"{'4', '6'}","{'19', '4', '6'}","{'4', '6'}","{'22', '16', '6'}"
17,,,{'22'},{'22'}
18,"{'22', '15', '19', '16'}","{'22', '16'}","{'19', '16', '22', '15', '1'}","{'22', '15', '19', '16'}"
19,{'1'},,{'10'},
20,,,{'1'},{'1'}
21,"{'19', '1', '13'}","{'19', '4', '1', '13'}","{'4', '16', '1', '21'}","{'4', '1', '13'}"
22,{'1'},,,
23,,{'1'},,
24,,{'4'},{'1'},
25,,{'1'},,
26,,,"{'1', '13'}",
27,"{'4', '1'}","{'19', '1'}","{'19', '2', '22', '1', '13'}","{'22', '19', '1'}"
28,,{'1'},{'1'},"{'22', '19', '3', '1'}"
29,,,"{'4', '1', '14'}","{'1', '14'}"
30,"{'22', '19', '1', '5'}","{'22', '19', '1'}","{'19', '21', '22', '1', '5', '4'}","{'19', '21', '22', '1', '13'}"
31,"{'19', '1', '13'}",,,
32,{'1'},,{'1'},{'1'}
33,"{'19', '1', '20', '12', '4'}","{'22', '19', '4', '1'}","{'19', '21', '1', '12', '13'}","{'19', '22', '1', '12', '13'}"
34,{'22'},,,
35,,,{'19'},{'22'}
36,"{'19', '22', '4'}",{'19'},{'19'},{'19'}
37,"{'4', '19', '1'}","{'19', '1'}","{'4', '19', '1', '6'}","{'22', '19', '6', '5'}"
38,"{'22', '19', '5'}","{'19', '5'}","{'22', '19', '5'}","{'19', '5'}"
39,"{'22', '1'}","{'19', '1', '13'}","{'19', '1', '5', '13'}","{'19', '21', '5'}"
40,"{'4', '19', '7'}","{'19', '1'}","{'19', '3'}","{'19', '3', '1'}"
42,{'3'},{'3'},"{'3', '5'}",{'15'}
43,,"{'4', '1', '5'}","{'19', '1', '5', '13', '4'}",
44,"{'22', '19'}",,{'22'},{'22'}
45,{'19'},"{'19', '1'}","{'22', '15', '19', '9'}","{'22', '15'}"
46,"{'1', '5'}",{'5'},{'19'},{'19'}
47,,,{'5'},
48,{'19'},"{'22', '19'}",,
49,{'1'},,{'19'},
51,{'3'},{'3'},{'3'},{'3'}
52,"{'19', '15'}",{'15'},"{'19', '16', '22', '15', '13'}",
53,"{'22', '19', '1'}","{'22', '19', '4', '1'}","{'19', '1', '6'}",{'1'}
54,"{'19', '1'}","{'19', '1'}",{'1'},"{'19', '1'}"
55,"{'19', '1', '13'}","{'19', '1'}",,
56,"{'19', '1'}",{'19'},"{'19', '1', '5'}","{'22', '19', '1', '5'}"
57,{'19'},,,
58,"{'19', '11', '13'}","{'22', '19'}",{'22'},"{'22', '19'}"
59,"{'22', '19', '4', '1'}","{'19', '1'}","{'19', '21', '22', '1', '5'}","{'19', '21', '15', '1', '14'}"
60,"{'19', '14'}","{'19', '13'}",,{'19'}
61,{'19'},,,{'19'}
62,{'1'},"{'19', '1'}",{'1'},{'1'}
64,"{'19', '1'}",{'14'},"{'22', '19', '13'}","{'19', '22', '15', '1', '14', '13', '4'}"
65,{'1'},{'1'},{'1'},{'1'}
66,{'19'},{'19'},"{'22', '19'}","{'19', '1', '5'}"
67,{'1'},"{'19', '1'}",,
68,"{'15', '19'}",{'15'},"{'19', '15'}","{'19', '15'}"
69,"{'22', '4'}","{'22', '1'}","{'22', '4'}",{'22'}
70,"{'19', '4', '1', '13'}","{'4', '19', '1'}","{'19', '4', '1', '13'}","{'4', '1'}"
71,"{'1', '14'}",{'1'},,{'14'}
72,{'4'},,,{'4'}
73,"{'19', '1'}",,"{'19', '5'}",{'1'}
74,{'16'},{'16'},{'16'},
75,"{'19', '1'}",{'1'},"{'19', '1'}",
77,{'19'},{'19'},,
78,{'1'},"{'19', '1', '5'}","{'19', '1'}","{'19', '1'}"
79,"{'22', '15', '19'}","{'19', '22', '15', '5', '13'}","{'22', '4', '1', '19'}","{'19', '22', '15'}"
80,{'4'},{'4'},,
81,"{'4', '1', '14'}","{'4', '14'}","{'22', '14'}","{'22', '1', '14'}"
82,"{'15', '19'}",,{'19'},"{'19', '5'}"
83,,,{'1'},"{'12', '1'}"
84,{'1'},{'16'},,
88,"{'19', '14'}","{'19', '14'}","{'19', '21', '1', '14', '13'}","{'19', '5', '14'}"
89,"{'19', '1'}",{'19'},"{'19', '1'}","{'19', '4'}"
90,{'1'},"{'22', '1'}",{'4'},"{'22', '1'}"
91,"{'19', '22', '15', '1', '5', '13'}","{'22', '19'}","{'22', '19', '1'}","{'22', '19', '13'}"
92,"{'4', '15', '1'}","{'4', '1'}","{'22', '15', '4'}","{'22', '15'}"
93,{'19'},,{'19'},
94,{'19'},{'19'},{'19'},"{'19', '5'}"
95,"{'20', '15'}",{'15'},"{'15', '3'}","{'20', '15', '3'}"
96,"{'15', '1', '5', '14', '12'}","{'5', '14'}","{'19', '17', '15', '1', '5', '14', '13'}","{'17', '5', '14', '20', '12', '4'}"
97,"{'19', '22', '15', '1', '5', '20'}","{'22', '1', '5'}","{'19', '1', '5'}","{'19', '1'}"
98,"{'12', '5'}","{'4', '5'}","{'12', '4', '5'}",{'22'}
99,"{'19', '1', '14', '13', '4'}","{'19', '16', '22', '1', '14', '13'}","{'19', '22', '1', '14', '13', '4'}","{'19', '22', '1', '14', '13'}"
100,"{'22', '19'}","{'22', '19'}",{'19'},"{'15', '19'}"
101,"{'4', '15', '5'}",,"{'22', '15', '5', '14', '4'}","{'5', '15', '1', '6'}"
102,"{'19', '1'}",{'1'},"{'22', '19', '1'}","{'22', '19'}"
103,"{'22', '19'}","{'22', '19', '1'}","{'22', '19'}","{'22', '19'}"
104,"{'19', '1'}",{'19'},"{'19', '1', '5'}",{'1'}
105,"{'22', '19'}","{'22', '15', '19', '1'}","{'22', '19'}","{'22', '15', '19'}"
106,"{'22', '19'}",{'19'},"{'22', '15', '19'}","{'22', '15', '19'}"
107,"{'19', '1'}","{'19', '1'}","{'19', '1'}",
108,{'1'},,,
109,"{'19', '5'}","{'19', '5'}","{'19', '5'}","{'19', '5', '14'}"
110,{'19'},{'19'},"{'22', '19', '14'}","{'19', '14', '1', '13'}"
