statId,dong
ME174028,잠실7동
ME174029,문정2동
ME18B179,마천1동
ME18B180,거여2동
ME18B181,마천2동
ME19A152,오륜동
ME19A153,삼전동
ME19X403,잠실본동
ME19Y601,가락1동
CSCS1010,문정2동
CU200016,송파2동
CU200027,잠실6동
CU640001,잠실본동
CV000111,잠실6동
CV000114,잠실6동
CV000639,오금동
CV000762,장지동
CV000911,위례동
CV000913,위례동
CV000940,위례동
CV000941,위례동
CV001061,잠실6동
CV001087,잠실4동
CV001139,위례동
CV001643,위례동
CV001644,위례동
CV002006,위례동
CV002007,위례동
CV002010,위례동
CV002011,위례동
EC000243,잠실3동
EC001036,방이1동
EC003918,문정2동
EC003919,문정2동
EC004032,잠실3동
EC004033,잠실3동
EC004034,잠실3동
EC004035,잠실3동
EC004036,잠실3동
EC004037,잠실3동
EC004038,잠실3동
EC004039,잠실3동
EC004040,잠실3동
EC004041,잠실3동
EC004042,잠실3동
EC004161,마천1동
EC004162,마천1동
EC004163,마천1동
EC004164,마천1동
EC004165,마천1동
EC004360,풍납2동
EH213200,송파2동
EP210338,위례동
EP220071,위례동
EP220163,풍납2동
EP220187,잠실본동
EP220300,문정2동
EP220301,문정2동
EP220302,문정2동
EP220303,문정2동
EP220304,문정2동
EP220305,문정2동
EV000603,풍납2동
EV000701,장지동
EV000792,장지동
EV001495,방이2동
EV001586,장지동
EV001929,풍납1동
EV001955,풍납1동
EV001965,위례동
EV001966,위례동
EV002135,위례동
EV002136,위례동
EV002137,위례동
EV002138,위례동
EV002216,문정2동
EV002490,문정2동
EV002491,문정2동
EV002829,마천2동
EV002930,방이1동
EV002931,방이1동
EV003440,잠실6동
EV003828,잠실3동
EV004033,위례동
EV004799,문정2동
EV004800,문정2동
EV004850,위례동
EV004851,위례동
EV004852,위례동
EV004874,문정1동
EV004875,문정1동
EV004876,문정1동
EV005021,거여1동
EV005690,석촌동
EV005893,위례동
EV005894,위례동
EV006372,마천2동
EV006828,가락1동
EV007030,거여2동
EV007091,가락본동
EV007331,오금동
EV007522,송파2동
EV008454,가락본동
EV008755,잠실6동
EV008756,잠실6동
EV008833,잠실6동
EV008847,장지동
EV008986,오륜동
EV008987,오륜동
EV010082,가락본동
EV010297,풍납2동
EV010528,송파1동
EV010731,풍납2동
EV010732,풍납2동
EV010733,풍납2동
EV010734,풍납2동
EZ100002,가락1동
EZ100057,거여2동
EZ200256,가락본동
EZ200297,가락2동
EZ210005,가락본동
EZ210034,가락본동
GN000049,문정2동
GN007382,문정2동
GN008010,가락2동
GN008610,풍납2동
GN008632,송파1동
GN010020,풍납1동
GN010321,장지동
GN010976,위례동
GN011306,위례동
GN012977,장지동
GN013007,거여2동
GN013370,문정1동
GN015452,장지동
GN021271,풍납2동
GN021714,가락본동
GN021855,문정2동
GN023171,오금동
GN023173,오금동
GN023175,오금동
GN023256,가락본동
GN040011,가락본동
GN040766,문정2동
GN060000,가락본동
GN060009,오금동
GN060012,삼전동
GN060025,거여2동
GN060031,삼전동
GN060034,석촌동
GN060036,위례동
GN060051,위례동
GN060058,잠실6동
GN060138,방이1동
GN061427,가락1동
GS000008,위례동
GS000009,문정2동
GS000077,가락2동
HD000023,가락1동
HE000168,잠실4동
HE000170,잠실4동
HE000847,잠실3동
HE192181,가락2동
HE192184,잠실6동
HE192492,마천2동
HE212794,장지동
HM000398,거여2동
HM000646,문정2동
HM000729,장지동
HM000999,마천1동
HM001624,잠실6동
HS001443,위례동
HS001491,풍납1동
HS001492,위례동
HS001770,송파1동
HS001776,가락본동
HSH00059,풍납2동
HSH00120,마천2동
HSH00149,풍납2동
HSH00202,마천2동
HSH00224,삼전동
HSH00316,풍납1동
HSH00524,방이2동
HSH00560,오금동
HSH00563,송파1동
HSH00636,마천2동
HSH00886,문정1동
HSH00917,풍납2동
HSH01142,잠실6동
IN120010,석촌동
JA110010,잠실6동
JA110019,잠실6동
JA110025,잠실6동
JA110026,잠실6동
KL001110,장지동
KL001557,오금동
KL002092,오금동
KL002098,잠실본동
KL002313,거여1동
KP000108,잠실6동
KP000114,방이1동
KP000222,가락1동
KP000522,잠실6동
KP000523,장지동
KP000524,마천1동
KP000525,위례동
KP000526,잠실6동
KP000680,마천1동
KP000687,가락2동
KP000688,가락본동
KP000690,송파2동
KP000691,가락본동
KP000692,풍납2동
KP000926,잠실3동
KP000927,장지동
KP001262,거여2동
KP001263,거여2동
KP001264,거여2동
KP001266,위례동
KP001267,방이1동
KP001268,풍납2동
KP001807,마천1동
KP002050,방이2동
KP002347,풍납2동
KP002684,장지동
KP002812,장지동
KP002873,장지동
KP002908,장지동
KP002960,잠실3동
KP003022,장지동
KP003149,위례동
KP003221,송파1동
KP003258,풍납2동
KP003259,거여2동
KP003260,삼전동
KP003261,가락2동
KP003262,잠실6동
KP003275,문정1동
KP003604,거여2동
KP003605,잠실본동
KP003770,송파1동
KP003866,문정1동
KP004614,오금동
KP005361,오금동
KP009550,송파1동
LH003503,위례동
LH106200,오금동
LH107500,위례동
LU000128,잠실2동
LU000176,삼전동
MO117101,잠실본동
NT100009,장지동
NT100373,문정2동
NT100450,위례동
NT100559,문정2동
NT100618,위례동
NT100844,위례동
PI000224,마천2동
PI000375,문정2동
PI000639,마천2동
PI000640,장지동
PI000642,풍납1동
PI000664,잠실2동
PI000693,오금동
PI000707,문정1동
PI000708,문정2동
PI000711,위례동
PI000712,가락본동
PI000713,송파2동
PI000714,잠실본동
PI000716,방이1동
PI000730,오금동
PI000731,잠실2동
PI000746,마천1동
PI000763,거여1동
PI090021,방이2동
PI122334,잠실6동
PI200274,거여1동
PI200342,잠실6동
PI200386,문정2동
PI200721,가락본동
PI200750,방이2동
PI200798,가락1동
PI200809,송파1동
PI200875,오금동
PI200896,석촌동
PI200897,송파2동
PI200903,가락2동
PI200946,위례동
PI200973,위례동
PI200976,가락본동
PI200982,잠실6동
PI201575,문정2동
PI201628,가락본동
PI202688,가락본동
PI202988,잠실6동
PI204010,가락1동
PI204026,가락본동
PI204092,오륜동
PI204119,잠실6동
PI204121,오륜동
PI204145,방이1동
PI204162,오륜동
PI306224,문정2동
PK000015,장지동
PK000016,마천1동
PL000209,잠실6동
PL000223,위례동
