statId,addr,dong
ME174028,서울특별시 송파구 잠실동 84,잠실동
ME174029,서울특별시 송파구 중대로 80,문정동
ME18B179,서울특별시 송파구 성내천로299-7,마천동
ME18B180,서울특별시 송파구 오금로68길8,거여동
ME18B181,서울특별시 송파구 성내천로33가길20,마천동
ME19A152,서울특별시 송파구 올림픽로 424 ,방이동
ME19A153,서울특별시 송파구 백제고분로 242,삼전동
ME19X403,서울특별시 송파구 올림픽로,잠실동
ME19Y601,서울특별시 송파구 양재대로 932,가락동
CSCS1010,서울특별시 송파구 송파대로 155,문정동
CU200016,서울특별시 송파구 오금로32길 14,송파동
CU200027,서울특별시 송파구 올림픽로35다길 13,신천동
CU640001,서울특별시 송파구 도곡로 450,잠실동
CV000111,서울특별시 송파구 오금로 62,신천동
CV000114,서울특별시 송파구 올림픽로 269,신천동
CV000639,서울특별시 송파구 동남로 342,오금동
CV000762,서울특별시 송파구 충민로2길 8,장지동
CV000911,서울특별시 송파구 위례북로4길 12,거여동
CV000913,서울특별시 송파구 위례서이로 25,거여동
CV000940,서울특별시 송파구 위례송파로 123,거여동
CV000941,서울특별시 송파구 위례송파로 89,거여동
CV001061,서울특별시 송파구 신천동 10-2번지,신천동
CV001087,서울특별시 송파구 오금로2길 22,신천동
CV001139,서울특별시 송파구 위례북로 10,거여동
CV001643,서울특별시 송파구 위례북로2길 12,거여동
CV001644,서울특별시 송파구 위례북로2길 12,거여동
CV002006,서울특별시 송파구 위례송파로 123,거여동
CV002007,서울특별시 송파구 위례송파로 123,거여동
CV002010,서울특별시 송파구 위례북로4길 12,거여동
CV002011,서울특별시 송파구 위례북로4길 12,거여동
EC000243,서울특별시 송파구 올림픽로 240,방이동
EC001036,서울특별시 송파구 양재대로 1109,방이동
EC003918,서울특별시 송파구 법원로 135,문정동
EC003919,서울특별시 송파구 법원로 135,문정동
EC004032,서울특별시 송파구 잠실로 88,잠실동
EC004033,서울특별시 송파구 잠실로 88,잠실동
EC004034,서울특별시 송파구 잠실로 88,잠실동
EC004035,서울특별시 송파구 잠실로 88,잠실동
EC004036,서울특별시 송파구 잠실로 88,잠실동
EC004037,서울특별시 송파구 잠실로 88,잠실동
EC004038,서울특별시 송파구 잠실로 88,잠실동
EC004039,서울특별시 송파구 잠실로 88,잠실동
EC004040,서울특별시 송파구 잠실로 88,잠실동
EC004041,서울특별시 송파구 잠실로 88,잠실동
EC004042,서울특별시 송파구 잠실로 88,잠실동
EC004161,서울특별시 송파구 성내천로37길 37,마천동
EC004162,서울특별시 송파구 성내천로37길 37,마천동
EC004163,서울특별시 송파구 성내천로37길 37,마천동
EC004164,서울특별시 송파구 성내천로37길 37,마천동
EC004165,서울특별시 송파구 성내천로37길 37,마천동
EC004360,서울특별시 송파구 올림픽로47길 9,풍납동
EH213200,서울특별시 송파구 송이로 50,송파동
EP210338,서울특별시 송파구 위례광장로 136,장지동
EP220071,서울특별시 송파구 위례광장로 230,장지동
EP220163,서울특별시 송파구 올림픽로43길 34,풍납동
EP220187,서울특별시 송파구 백제고분로20길 7-1,잠실동
EP220300,서울특별시 송파구 충민로 5,문정동
EP220301,서울특별시 송파구 충민로 5,문정동
EP220302,서울특별시 송파구 충민로 5,문정동
EP220303,서울특별시 송파구 충민로 5,문정동
EP220304,서울특별시 송파구 충민로 5,문정동
EP220305,서울특별시 송파구 충민로 5,문정동
EV000603,"서울특별시 송파구 풍성로 14 (풍납동, 미성맨션)",풍납동
EV000701,"서울특별시 송파구 송파대로8길 58 (장지동, 송파파인타운11단지)",장지동
EV000792,"서울특별시 송파구 송파대로8길 42 (장지동, 송파파인타운12단지)",장지동
EV001495,"서울특별시 송파구 위례성대로8길 28 (방이동, 방이금호어울림)",방이동
EV001586,"서울특별시 송파구 송파대로8길 58 (장지동, 송파파인타운11단지)",장지동
EV001929,"서울특별시 송파구 한가람로 468 (풍납동, 신성노바빌아파트)",풍납동
EV001955,"서울특별시 송파구 한가람로 478 (풍납동, 씨티극동아파트)",풍납동
EV001965,서울특별시 송파구 위례광장로 170,장지동
EV001966,서울특별시 송파구 위례광장로 170,장지동
EV002135,서울특별시 송파구 위례광장로 120,장지동
EV002136,서울특별시 송파구 위례광장로 120,장지동
EV002137,서울특별시 송파구 위례광장로 290,장지동
EV002138,서울특별시 송파구 위례광장로 290,장지동
EV002216,서울특별시 송파구 새말로 62,문정동
EV002490,서울특별시 송파구 새말로 62,문정동
EV002491,서울특별시 송파구 새말로 62,문정동
EV002829,서울특별시 송파구 마천로35길 18,마천동
EV002930,서울특별시 송파구 오금로31길 28,방이동
EV002931,서울특별시 송파구 오금로31길 28,방이동
EV003440,서울특별시 송파구 올림픽로 지하 265,신천동
EV003828,서울특별시 송파구 잠실로 62,잠실동
EV004033,서울특별시 송파구 위례광장로 170,장지동
EV004799,서울특별시 송파구 충민로 52,문정동
EV004800,서울특별시 송파구 충민로 52,문정동
EV004850,서울특별시 송파구 위례광장로 121,장지동
EV004851,서울특별시 송파구 위례광장로 121,장지동
EV004852,서울특별시 송파구 위례광장로 121,장지동
EV004874,서울특별시 송파구 문정로 83,문정동
EV004875,서울특별시 송파구 문정로 83,문정동
EV004876,서울특별시 송파구 문정로 83,문정동
EV005021,서울특별시 송파구 양산로 15,거여동
EV005690,서울특별시 송파구 석촌호수로 188,석천동
EV005893,서울특별시 송파구 위례광장로 215,장지동
EV005894,서울특별시 송파구 위례광장로 215,장지동
EV006372,서울특별시 송파구 성내천로 236,마천동
EV006828,서울특별시 송파구 송파대로 345,가락동
EV007030,서울특별시 송파구 양산로4길 8,거여동
EV007091,서울특별시 송파구 송파대로28길 11,가락동
EV007331,서울특별시 송파구 오금로 407,오금동
EV007522,서울특별시 송파구 가락로 192,송파동
EV008454,서울특별시 송파구 중대로 101,가락동
EV008755,서울특별시 송파구 올림픽로 269,신천동
EV008756,서울특별시 송파구 올림픽로 269,신천동
EV008833,서울특별시 송파구 올림픽로35길 137,신천동
EV008847,서울특별시 송파구 송이로 257,문정동
EV008986,서울특별시 송파구 위례성대로 71,방이동
EV008987,서울특별시 송파구 위례성대로 71,방이동
EV010082,서울특별시 송파구 송이로 123,가락동
EV010297,서울특별시 송파구 올림픽로 525,풍납동
EV010528,서울특별시 송파구 송파대로42길 29,송파동
EV010731,서울특별시 송파구 토성로 38-6,풍납동
EV010732,서울특별시 송파구 토성로 38-6,풍납동
EV010733,서울특별시 송파구 토성로 38-6,풍납동
EV010734,서울특별시 송파구 토성로 38-6,풍납동
EZ100002,서울특별시 송파구 송파대로 345,가락동
EZ100057,서울특별시 송파구 오금로 551,거여동
EZ200256,서울특별시 송파구 송파대로32길 33,가락동
EZ200297,서울특별시 송파구 동남로9길 39,가락동
EZ210005,서울특별시 송파구 송파대로28길 43,가락동
EZ210034,서울특별시 송파구 송파대로32길 33,가락동
GN000049,서울특별시 송파구 정의로 30,문정동
GN007382,서울특별시 송파구 정의로7길 13,문정동
GN008010,서울특별시 송파구 오금로 396,가락동
GN008610,서울특별시 송파구 풍성로26길 47,풍납동
GN008632,서울특별시 송파구 석촌호수로 278,송파동
GN010020,서울특별시 송파구 한가람로 468,풍납동
GN010321,서울특별시 송파구 충민로 152,장지동
GN010976,서울특별시 송파구 위례광장로 185,장지동
GN011306,서울특별시 송파구 위례광장로 136,장지동
GN012977,서울특별시 송파구 충민로6길 14,장지동
GN013007,서울특별시 송파구 오금로 551,거여동
GN013370,서울특별시 송파구 문정로 83,문정동
GN015452,서울특별시 송파구 송파대로8길 20,장지동
GN021271,서울특별시 송파구 풍성로24길 42,풍납동
GN021714,서울특별시 송파구 송이로15길 31,가락동
GN021855,서울특별시 송파구 법원로 127,문정동
GN023171,서울특별시 송파구 성내천로 6,오금동
GN023173,서울특별시 송파구 성내천로 6,오금동
GN023175,서울특별시 송파구 성내천로 6,오금동
GN023256,서울특별시 송파구 송이로 123,가락동
GN040011,서울특별시 송파구 중대로 121,가락동
GN040766,서울특별시 송파구 법원로 127,문정동
GN060000,서울특별시 송파구 오금로36길 24,가락동
GN060009,서울특별시 송파구 마천로 89,오금동
GN060012,서울특별시 송파구 백제고분로 266,삼전동
GN060025,서울특별시 송파구 양산로2길 38,거여동
GN060031,서울특별시 송파구 백제고분로31길 27,삼전동
GN060034,서울특별시 송파구 석촌호수로18길 9,석촌동
GN060036,서울특별시 송파구 위례북로4길 12,거여동
GN060051,서울특별시 송파구 성남대로 1576,장지동
GN060058,서울특별시 송파구 올림픽로 305,신천동
